Buttons,"Buttons are packed in bulk boxes of 36, one fragrance per box (Buttons are not individually retail packed)
Come in cases of 4 boxes (or in multiples thereof). Each box can be a different fragrance
Wholesale Unit Price $19.80 | Wholesale Case Price $79.20"
Candle Bars,"McCall’s Candle Bars are individually retail packed
Order as many Candle Bars packs as you would like (there is no minimum)
Wholesale Unit Price $3.99"
Classic Jar Candle 16oz,"Come in cases of 12 | Order 3 or more of a fragrance to fill the case of 12
Wholesale Unit Price $9.00 | Wholesale Case Price $108.00"
Classic Jar Candle 26oz,"Come in cases of 12 | Order 3 or more of a fragrance to fill the case of 12
Wholesale Unit Price $11.25 | Wholesale Case Price $135.00"
Double Wick Classic 8oz,"Come in cases of 12 | Order 3 or more of a fragrance to fill the case of 12
Wholesale Unit Price $7.25 | Wholesale Case Price $87.00"
Double Wick Classic 16oz,"Come in cases of 12 | Order 3 or more of a fragrance to fill the case of 12
Wholesale Unit Price $9.00 | Wholesale Case Price $108.00"
Indulgence 18oz,"Come in cases of 12 | Order 3 or more of a fragrance to fill the case of 12
Wholesale Unit Price $9.50 | Wholesale Case Price $114.00"
McCall's Mason 16oz,"Come in cases of 12 | Order 3 or more of a fragrance to fill the case of 12
Wholesale Unit Price $9.50 | Wholesale Case Price $108.00"
Reed Gardens 4oz,"Come in cases of 6 retail boxes (or in multiples thereof). (Each box can be a different fragrance)
Wholesale Unit Price $5.00 | Wholesale Case Price $30.00"
Melters,"McCall’s Melters come individually retail-boxed
Order as many Melters as you would like (there is no minimum)
Wholesale Unit Price $18.00"
Display Jars W/ Classic Label,"Come individually boxed
Order as many Display Jars as you would like (there is no minimum)
Wholesale Unit Price $12.00"
Display Jars-with Wrap (Black & Gold) Label,"Come individually boxed
Order as many Display Jars as you would like (there is no minimum)
Wholesale Unit Price $12.00"
Accessories,(no minimums or ordering requirements for accessories)
