"Jesus, Our Shepherd, Glass Stone",M-91,"Home|Individual Items|Glass Stones, Shiny|Miscellaneous Stones|Jesus, Our Shepherd, Glass Stone","This glass stone depicts a touching picture of Jesus holding a lamb. The stones come in assorted colors, and are 1.25 inches in diameter. There is a minimum order quantity of 6 stones.",,,,,,,6,3.99,10,2.99,,,6,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/2278/12708/Jesus_Our_Shepherd__15259.1743173495.png?c=2,Jesus_Our_Shepherd__15259.1743173495.png?c=2,,,Lifeforce800,Jesus_Our_Shepherd__15259.1743173495.png?c=2,
"Yin Yang, Glass Stone",M-56,"Home|Individual Items|Glass Stones, Shiny|Miscellaneous Stones|Yin Yang, Glass Stone","Yin Yang glass stone. 1.25"" in diameter. There is a minimum order quantity of 6 stones.",,,,,,,6,3.99,10,2.99,,,6,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/691/5405/yin_yan_800__19901.1537453729.jpg?c=2,yin_yan_800__19901.1537453729.jpg?c=2,,,Lifeforce800,yin_yan_800__19901.1537453729.jpg?c=2,
"First Communion (with picture), Glass Stone",M-54,"Home|Individual Items|Glass Stones, Shiny|Miscellaneous Stones|First Communion (with picture), Glass Stone","First Communion glass stone. 1.25"" in diameter. There is a minimum order quantity of 6 stones.",,,,,,,6,3.99,10,2.99,,,6,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/689/5755/first_communion_800__37073.1537819011.jpg?c=2,first_communion_800__37073.1537819011.jpg?c=2,,,Lifeforce800,first_communion_800__37073.1537819011.jpg?c=2,
"Forgiveness, Glass Stone",F-20,"Home|Individual Items|Glass Stones, Shiny|Focus Stones|Forgiveness, Glass Stone","Forgiveness is essential for mental and physical health. A glass stone imprinted with the word can act as a tool. 1.25"" glass stone, assorted colors. There is a minimum order quantity of 6 stones.",,,,,,,6,3.99,10,2.99,,,6,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/435/5039/forgiveness_800__89799.1535641933.JPG?c=2,forgiveness_800__89799.1535641933.JPG?c=2,,,Lifeforce800,forgiveness_800__89799.1535641933.JPG?c=2,
Inspiration Glass Stone Assortment - 100 pieces,INSA,Home|Inspirational|Inspiration Glass Stone Assortment - 100 pieces,"The overall theme of the Inspiration Assortment is ""You can do it!"" This assortment includes but is not limited to:
Believe
Do what you can with what you have with where you are.
Dream
Every problem contains the seeds of its own solution.
Faith
Follow Your Dreams
Gratitude
Hope
If you believe in yourself, anything is possible.
Joy
Not all that wander are lost.
Strength
Success
We cannot solve the problems we have created with the same thinking that created them.
What would you attempt to do if you knew you could not fail?
Wisdom
A basket and header card display is included with this 100 stone assortment. Each stone is approximately 1.25"" in diameter. The glass is translucent and opaque. If you prefer to create your own assortment, click here. The price decreases as you shop.",,,,,,,1,125.00,5,118.75,,,1,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/559/9967/IMG-9136__33758.1700147523.jpg?c=2,IMG-9136__33758.1700147523.jpg?c=2,,,Lifeforce800,IMG-9136__33758.1700147523.jpg?c=2,
"Bear, Wooden Postcard",PCB,"Home|Holidays|Bear, Wooden Postcard","Bear, Wooden Postcard
Send a touch of woodland charm this holiday season with our adorable Wooden Christmas Postcard featuring a sweet bear holding a gift. Surrounded by delicate, nature-inspired elements like pine branches, pinecones, and subtle florals, this postcard captures the magic of a cozy winter scene. Measuring 4"" x 6"" and 1/10 of an inch thick, it's the perfect size for mailing warm wishes or adding a unique touch to your holiday gifts.
Crafted from sustainably sourced wood, this postcard is laser cut and printed in-house, ensuring vibrant colors and intricate details. It’s an eco-friendly alternative to traditional paper cards, offering a thoughtful way to share holiday greetings while caring for the environment. The sturdy wooden design transforms this card into a lasting keepsake, making it a memorable choice for friends and family.
Ideal for those who appreciate the blend of whimsical design and eco-conscious living, this postcard is also available for wholesale, making it a delightful addition to any retailer's holiday collection. Whether you're sending a postcard Christmas card to a loved one or stocking up on eco-friendly Christmas postcards for your store, this charming bear design is sure to bring joy.
Key Features:
Laser cut and expertly printed in-house for vibrant, high-quality detail.
Made from sustainable wood, offering an eco-friendly alternative to paper cards.
Size: 4"" x 6"" and 1/10 of an inch thick, perfect for mailing or including with gifts.
Durable design that turns a simple card into a lasting keepsake.
Available for wholesale, making it ideal for retailers looking for unique holiday products.
Whimsical, nature-inspired design that combines festive cheer with eco-conscious values.
Why Choose Our Wooden Bear Christmas Postcard?
Eco-Friendly Choice: Made from sustainably sourced wood, this postcard helps you celebrate the season while reducing your environmental impact.
Charming and Whimsical Design: The sweet bear and nature-inspired details add a touch of warmth and magic to your holiday greetings.
Perfect for Every Occasion: Whether for personal use or to offer in your store, this postcard Christmas card is a unique and thoughtful way to share the joy of the season.
Share the magic of the holidays with our Wooden Bear Christmas Postcard. It's an eco-conscious, whimsical way to send heartfelt wishes that will be cherished year after year.
To reach our lowest wholesale price of $2.99 per postcard, simply mix and match a total of 16 postcards from our collection. Interested in custom designs? We offer low minimums—contact us for more information on creating your own unique postcards.
To avoid any potential disruption in delivery, we suggest using 2 First Class Stamps.",,,,,,,1,6.00,16,2.99,,,1,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/4535/13046/Bear_FULL-Camera__54936.1747057644.png?c=2,Bear_FULL-Camera__54936.1747057644.png?c=2,,,Lifeforce800,Bear_FULL-Camera__54936.1747057644.png?c=2,
"The Mermaid's Message, Be Present, Sea Glass Stone",MM116,"Home|Inspirational|The Mermaid's Message, Be Present, Sea Glass Stone","Mermaid's Message Sea Glass Stone – Be Present
Embrace mindfulness with our Be Present, Mermaid’s Message Sea Glass Stone. Designed to resemble genuine sea glass, this beautifully frosted stone serves as a gentle reminder to stay in the moment and appreciate life as it unfolds.
Serene Colors: Available in soothing sea-inspired hues— teal, green, white, dark blue, and light blue.
Meaningful Message: Be Present encourages mindfulness, focus, and awareness.
Ocean-Inspired Beauty: Smooth, frosted glass finish mimics treasures found along the shore.
Perfect for meditation, home décor, gifting, or carrying as a personal reminder to stay grounded. Add this Be Present stone to your collection and bring more mindfulness into your daily life.
Buying in bulk? Explore our Mermaid Message Assortments.
Shop now and stay present in every moment.",,,,,,,6,3.99,10,2.99,,,6,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/4635/12458/Be_Present_Green__00376.1739897040.png?c=2,Be_Present_Green__00376.1739897040.png?c=2,,,Lifeforce800,Be_Present_Green__00376.1739897040.png?c=2,
"My Love, My Valentine, Wooden Postcard",PCMLMV,"Home|Holidays|My Love, My Valentine, Wooden Postcard","My Love My Valentine, Wooden Postcard
Share your love with our My Love, My Valentine, Wooden Postcard. Featuring a watercolor illustration of a bold red heart framed by a dreamy blue sky and fluffy clouds, this card expresses deep affection in a unique way. Made from sustainably sourced wood, this eco-friendly Valentine’s Day card offers a heartfelt message—""My love, my valentine""—making it a perfect keepsake for your special someone.
Ideal for both retail and wholesale buyers, this wooden postcard is a memorable way to celebrate Valentine's Day. Whether you're sending a romantic message or stocking up for Valentine's Day sales, this card adds a special touch to any occasion.
Key Features:
Eco-Friendly Material: Crafted from sustainably sourced wood, making it a thoughtful choice for nature lovers.
Heartfelt Design: Beautiful watercolor artwork with a red heart against a dreamy sky.
Durable Keepsake: Designed to last, unlike traditional paper cards, making it a cherished memento.
Ready to Mail: Send it directly through the mail—no envelope required for easy delivery.
Wholesale Options Available: Great for boutique shops or retailers looking for unique Valentine’s Day cards.
Make this Valentine's Day unforgettable with a wooden postcard that shows how much you care. Give a gift that speaks to the heart with our My Love, My Valentine, Wooden Postcard.
To reach our lowest wholesale price of $2.99 per postcard, simply mix and match a total of 16 postcards from our collection. Interested in custom designs? We offer low minimums—contact us for more information on creating your own unique postcards.
To avoid any potential disruption in delivery, we suggest using 2 First Class Stamps.",,,,,,,1,6.00,16,2.99,,,1,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/4594/13388/My_Love_My_Valentine_FULL-Camera__05972.1748600981.png?c=2,My_Love_My_Valentine_FULL-Camera__05972.1748600981.png?c=2,,,Lifeforce800,My_Love_My_Valentine_FULL-Camera__05972.1748600981.png?c=2,
"The Mermaid's Message, Faith, Sea Glass Stone",MM5,"Home|Inspirational|The Mermaid's Message, Faith, Sea Glass Stone","No collection of words would be complete without Faith. We all have have faith in something, and perhaps we're working on building faith. These beautiful sea glass stones will help us along. There is a minimum order quantity of 6 stones.",,,,,,,6,3.99,10,2.99,,,6,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/1925/4947/faith_green_800__93850.1534797780.jpg?c=2,faith_green_800__93850.1534797780.jpg?c=2,,,Lifeforce800,faith_green_800__93850.1534797780.jpg?c=2,
"Lotus picture, Glass Stone",M-72,"Home|Individual Items|Glass Stones, Shiny|Miscellaneous Stones|Lotus picture, Glass Stone","Lotus glass stone. 1.25"" in diameter. There is a minimum order quantity of 6 stones.",,,,,,,6,3.99,10,2.99,,,6,Lifeforce400,Lifeforce160,https://cdn11.bigcommerce.com/s-l8fm6tm/images/stencil/800x800/products/699/6372/Lotus_800__08961.1552327518.jpg?c=2,Lotus_800__08961.1552327518.jpg?c=2,,,Lifeforce800,Lotus_800__08961.1552327518.jpg?c=2,
